FlightDate,Airline,AirlineCode,FlightNumber,Origin,OriginCity,Dest,DestCity,DayOfWeek,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,Distance_KM,AirTime_Min
2025-01-04,AirAsia India,I5,I5484,LKO,Lucknow,COK,Kochi,Saturday,16:50,18:50,120,18:41,20:36,115,0,1226,91
2025-01-05,Akasa Air,QP,QP921,AMD,Ahmedabad,BLR,Bengaluru,Sunday,12:15,12:17,2,13:46,13:48,2,0,954,71
2025-01-05,Vistara,UK,UK910,HYD,Hyderabad,MAA,Chennai,Sunday,15:50,16:00,10,16:49,16:59,10,0,520,39
2025-01-07,IndiGo,6E,6E477,BOM,Mumbai,JAI,Jaipur,Tuesday,08:30,08:30,0,09:54,09:49,-5,0,870,64
2025-01-09,Air India,AI,AI749,BOM,Mumbai,MAA,Chennai,Thursday,07:30,07:55,25,09:06,09:31,25,0,1030,76
2025-01-10,Go First,G8,G8984,PNQ,Pune,LKO,Lucknow,Friday,14:20,14:25,5,15:33,15:28,-5,0,717,53
2025-01-15,IndiGo,6E,6E254,BLR,Bengaluru,LKO,Lucknow,Wednesday,19:50,19:50,0,22:05,22:20,15,0,1552,115
2025-01-18,Akasa Air,QP,QP456,GOI,Goa,JAI,Jaipur,Saturday,19:40,19:48,8,22:03,22:16,13,0,1655,123
2025-01-20,IndiGo,6E,6E692,BOM,Mumbai,JAI,Jaipur,Monday,17:50,18:05,15,19:14,19:19,5,0,870,64
2025-01-20,IndiGo,6E,6E991,BOM,Mumbai,CCU,Kolkata,Monday,19:40,19:35,-5,22:03,21:53,-10,0,1660,123
2025-01-20,Air India,AI,AI338,DEL,Delhi,MAA,Chennai,Monday,06:50,,,09:20,,,1,1760,130
2025-01-20,AirAsia India,I5,I5410,DEL,Delhi,MAA,Chennai,Monday,07:15,07:17,2,09:45,09:47,2,0,1760,130
2025-01-20,SpiceJet,SG,SG820,DEL,Delhi,JAI,Jaipur,Monday,20:40,20:35,-5,21:18,21:18,0,0,240,18
2025-01-20,IndiGo,6E,6E211,DEL,Delhi,GOI,Goa,Monday,21:50,22:05,15,00:01,00:31,30,0,1500,111
2025-01-24,AirAsia India,I5,I5167,LKO,Lucknow,BOM,Mumbai,Friday,19:40,20:50,70,21:36,22:36,60,0,1300,96
2025-01-25,IndiGo,6E,6E604,BOM,Mumbai,PNQ,Pune,Saturday,06:40,06:42,2,07:11,07:13,2,0,150,11
2025-01-25,SpiceJet,SG,SG523,BOM,Mumbai,GOI,Goa,Saturday,19:30,19:30,0,20:22,20:27,5,0,430,32
2025-01-25,AirAsia India,I5,I5235,COK,Kochi,CCU,Kolkata,Saturday,17:20,,,18:06,,,1,345,26
2025-01-25,Air India,AI,AI285,DEL,Delhi,PNQ,Pune,Saturday,15:10,15:25,15,16:57,17:12,15,0,1180,87
2025-01-25,Air India,AI,AI497,DEL,Delhi,CCU,Kolkata,Saturday,17:00,17:40,40,18:56,19:31,35,0,1300,96
2025-01-30,Air India,AI,AI100,BOM,Mumbai,JAI,Jaipur,Thursday,07:45,07:55,10,09:09,09:19,10,0,870,64
2025-01-30,SpiceJet,SG,SG353,BOM,Mumbai,MAA,Chennai,Thursday,08:20,08:50,30,09:56,10:21,25,0,1030,76
2025-01-30,Vistara,UK,UK354,BOM,Mumbai,COK,Kochi,Thursday,09:30,09:48,18,11:08,11:26,18,0,1050,78
2025-01-30,AirAsia India,I5,I5282,BOM,Mumbai,MAA,Chennai,Thursday,16:40,17:20,40,18:16,18:56,40,0,1030,76
2025-01-30,Air India,AI,AI384,BOM,Mumbai,DEL,Delhi,Thursday,19:40,20:50,70,21:25,22:45,80,0,1150,85
2025-01-30,Air India,AI,AI198,DEL,Delhi,HYD,Hyderabad,Thursday,07:15,07:15,0,09:08,09:23,15,0,1260,93
2025-01-30,Akasa Air,QP,QP305,DEL,Delhi,MAA,Chennai,Thursday,12:20,12:45,25,14:50,15:30,40,0,1760,130
2025-01-30,AirAsia India,I5,I5670,DEL,Delhi,CCU,Kolkata,Thursday,15:10,15:32,22,17:06,17:23,17,0,1300,96
2025-02-01,SpiceJet,SG,SG848,JAI,Jaipur,BOM,Mumbai,Saturday,12:50,13:30,40,14:14,14:54,40,0,870,64
2025-02-05,SpiceJet,SG,SG252,BOM,Mumbai,LKO,Lucknow,Wednesday,10:30,10:32,2,12:26,12:43,17,0,1300,96
2025-02-05,Vistara,UK,UK897,DEL,Delhi,BOM,Mumbai,Wednesday,07:00,07:00,0,08:45,08:45,0,0,1150,85
2025-02-05,Vistara,UK,UK598,DEL,Delhi,AMD,Ahmedabad,Wednesday,08:20,09:00,40,09:38,10:18,40,0,780,58
2025-02-05,Air India,AI,AI637,DEL,Delhi,LKO,Lucknow,Wednesday,17:00,17:05,5,17:53,17:58,5,0,440,33
2025-02-06,SpiceJet,SG,SG223,AMD,Ahmedabad,COK,Kochi,Thursday,14:20,14:22,2,17:00,17:12,12,0,1895,140
2025-02-07,Akasa Air,QP,QP613,BOM,Mumbai,MAA,Chennai,Friday,10:40,11:20,40,12:16,12:46,30,0,1030,76
2025-02-07,AirAsia India,I5,I5718,DEL,Delhi,HYD,Hyderabad,Friday,15:00,15:05,5,16:53,17:03,10,0,1260,93
2025-02-07,AirAsia India,I5,I5538,DEL,Delhi,CCU,Kolkata,Friday,18:15,18:15,0,20:11,20:06,-5,0,1300,96
2025-02-07,Go First,G8,G8928,DEL,Delhi,PNQ,Pune,Friday,19:20,19:25,5,21:07,21:12,5,0,1180,87
2025-02-12,AirAsia India,I5,I5317,LKO,Lucknow,GOI,Goa,Wednesday,06:50,06:50,0,07:48,07:58,10,0,507,38
2025-02-13,SpiceJet,SG,SG775,PNQ,Pune,GOI,Goa,Thursday,14:15,14:20,5,15:06,15:01,-5,0,416,31
2025-02-14,SpiceJet,SG,SG903,BLR,Bengaluru,GOI,Goa,Friday,06:45,06:50,5,07:42,07:52,10,0,500,37
2025-02-14,Go First,G8,G8809,BOM,Mumbai,LKO,Lucknow,Friday,12:15,12:30,15,14:11,14:26,15,0,1300,96
2025-02-14,IndiGo,6E,6E791,BOM,Mumbai,LKO,Lucknow,Friday,14:30,15:00,30,16:26,16:56,30,0,1300,96
2025-02-14,Akasa Air,QP,QP719,BOM,Mumbai,MAA,Chennai,Friday,14:50,14:52,2,16:26,16:18,-8,0,1030,76
2025-02-14,AirAsia India,I5,I5458,BOM,Mumbai,PNQ,Pune,Friday,20:50,20:58,8,21:21,21:44,23,0,150,11
2025-02-14,Vistara,UK,UK862,DEL,Delhi,COK,Kochi,Friday,08:00,08:00,0,10:58,11:13,15,0,2130,158
